epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,1190.58,1.07222,1.908,0.86157,1.1749,0,0.63769,0.65072,0.66976,0.37732,0.60752,0.60378,0.59508,0.25825,1.40584,2.2484,1.05802,1.46287,0,0.000198166,0.000198166,0.000198166
73,1218.12,1.08281,1.91233,0.85577,1.17923,0,0.65872,0.63007,0.65693,0.36053,0.61729,0.61975,0.5792,0.2438,1.44602,2.30984,1.09845,1.50569,0,0.000191562,0.000191562,0.000191562
74,1245.52,1.09218,1.95055,0.87221,1.17885,0,0.65986,0.61884,0.65483,0.3661,0.61397,0.62465,0.57977,0.24851,1.40023,2.29851,1.0931,1.47489,0,0.000184959,0.000184959,0.000184959
75,1273.25,1.05617,1.88992,0.83791,1.15872,0,0.66374,0.63776,0.66709,0.36761,0.63492,0.59172,0.58372,0.25016,1.41081,2.32047,1.07124,1.47766,0,0.000178356,0.000178356,0.000178356
76,1301.19,1.07468,1.91877,0.84712,1.1802,0,0.67547,0.62213,0.6654,0.3673,0.65127,0.57569,0.58272,0.24656,1.41546,2.32557,1.06915,1.48593,0,0.000171752,0.000171752,0.000171752
77,1328.44,1.0681,1.88347,0.84346,1.17183,0,0.68237,0.62687,0.67238,0.36956,0.66633,0.56805,0.59327,0.24826,1.41633,2.28097,1.05888,1.47837,0,0.000165149,0.000165149,0.000165149
78,1356.31,1.02658,1.85645,0.8212,1.15231,0,0.67255,0.62369,0.66385,0.36769,0.67407,0.55416,0.57752,0.24518,1.41338,2.27268,1.06851,1.49582,0,0.000158546,0.000158546,0.000158546
79,1384.03,1.06187,1.89359,0.84523,1.16249,0,0.67834,0.60386,0.66247,0.367,0.64716,0.57143,0.58587,0.249,1.40593,2.27003,1.07276,1.48377,0,0.000151943,0.000151943,0.000151943
80,1411.61,1.04975,1.87574,0.83704,1.15929,0,0.62742,0.72761,0.6699,0.36881,0.58856,0.68166,0.59724,0.24743,1.41623,2.25473,1.08388,1.48662,0,0.000145339,0.000145339,0.000145339
81,1438.95,1.04883,1.8728,0.82311,1.1508,0,0.66618,0.63456,0.67652,0.37701,0.65132,0.59554,0.60475,0.25668,1.39714,2.25883,1.05432,1.47345,0,0.000138736,0.000138736,0.000138736
82,1467.66,1.05016,1.88627,0.83003,1.15024,0,0.68873,0.62927,0.67078,0.3735,0.61234,0.63749,0.59856,0.25698,1.39925,2.27975,1.05445,1.47926,0,0.000132133,0.000132133,0.000132133
83,1496.34,1.03405,1.85294,0.82093,1.15447,0,0.66815,0.63814,0.66824,0.37063,0.60054,0.63706,0.5885,0.24825,1.41753,2.30005,1.06092,1.49266,0,0.000125529,0.000125529,0.000125529
84,1524.16,1.02097,1.84932,0.80756,1.14359,0,0.61274,0.70012,0.67504,0.37728,0.58037,0.66695,0.59929,0.25673,1.4214,2.29291,1.05186,1.49018,0,0.000118926,0.000118926,0.000118926
85,1553.61,1.03453,1.8732,0.83143,1.14607,0,0.66381,0.68101,0.68479,0.36927,0.62113,0.6342,0.59406,0.24841,1.43866,2.3064,1.07885,1.51283,0,0.000112323,0.000112323,0.000112323
